invoice_line_id,invoice_id,invoice_date,invoice_type,order_id,product_id,product_description,quantity,uom,unit_price,currency,line_amount,vat_rate,vat_amount,total_amount,invoice_status,invoice_ref,vat_category_code
IL-002,INV-2027-529715,2027-02-09,invoice,ORD-2026-704663,PROD-271045,Vantec USB-C Hub 9-port,66,pcs,34.5,EUR,2277.0,19.0,432.63,2709.63,issued,,S
IL-001,INV-2027-156136,2027-02-09,invoice,ORD-2026-269833,PROD-192837,Droxel 65W GaN Charger,100,pcs,28.4,EUR,2840.0,19.0,539.6,3379.6,issued,,S
IL-003,INV-2027-425992,2027-02-09,invoice,ORD-2027-209493,PROD-639182,Blipcore Wireless Adapter AC1200,10,pcs,22.8,EUR,228.0,19.0,43.32,271.32,issued,,S
IL-001,INV-2027-294069,2027-02-09,invoice,ORD-2027-382495,PROD-564738,Fomex Cat8 Patch Cable 3m,55,m,8.9,EUR,489.5,0.0,0.0,489.5,issued,,AE
IL-001,INV-2027-589730,2027-02-09,invoice,ORD-2026-954779,PROD-639182,Blipcore Wireless Adapter AC1200,97,pcs,22.8,EUR,2211.6,19.0,420.2,2631.8,issued,,S
IL-002,INV-2027-294069,2027-02-09,invoice,ORD-2027-382495,PROD-583047,Veltric UPS 600VA Tower,47,pcs,78.6,EUR,3694.2,0.0,0.0,3694.2,issued,,AE
IL-001,INV-2027-787781,2027-02-09,invoice,ORD-2026-110771,PROD-271045,Vantec USB-C Hub 9-port,78,pcs,34.5,EUR,2691.0,0.0,0.0,2691.0,issued,,AE
IL-002,INV-2027-373553,2027-02-09,invoice,ORD-2026-834312,PROD-847263,Nexboard Mechanical Keyboard TKL,80,pcs,67.0,EUR,5360.0,0.0,0.0,5360.0,issued,,AE
IL-001,INV-2027-511907,2027-02-09,invoice,ORD-2026-273565,PROD-738291,Quorvex 2TB NVMe SSD M.2,81,pcs,112.5,EUR,9112.5,0.0,0.0,9112.5,issued,,AE
IL-001,INV-2027-966843,2027-02-09,invoice,ORD-2026-857888,PROD-847263,Nexboard Mechanical Keyboard TKL,95,pcs,67.0,EUR,6365.0,19.0,1209.35,7574.35,issued,,S
IL-002,INV-2027-425992,2027-02-09,invoice,ORD-2027-209493,PROD-461829,Plonex Webcam 1080p Pro,63,pcs,44.0,EUR,2772.0,19.0,526.68,3298.68,issued,,S
IL-001,INV-2027-708512,2027-02-09,invoice,ORD-2026-196407,PROD-583047,Veltric UPS 600VA Tower,85,pcs,78.6,EUR,6681.0,0.0,0.0,6681.0,issued,,AE
IL-003,INV-2027-529715,2027-02-09,invoice,ORD-2026-704663,PROD-029384,Trimbit Docking Station 12-in-1,64,pcs,89.9,EUR,5753.6,19.0,1093.18,6846.78,issued,,S
IL-001,INV-2027-399986,2027-02-09,invoice,ORD-2027-487593,PROD-271045,Vantec USB-C Hub 9-port,51,pcs,34.5,EUR,1759.5,0.0,0.0,1759.5,issued,,AE
IL-002,INV-2027-399986,2027-02-09,invoice,ORD-2027-487593,PROD-029384,Trimbit Docking Station 12-in-1,61,pcs,89.9,EUR,5483.9,0.0,0.0,5483.9,issued,,AE
IL-003,INV-2027-399986,2027-02-09,invoice,ORD-2027-487593,PROD-483921,Zoltrix 4K Display Module 27in,92,pcs,189.99,EUR,17479.08,0.0,0.0,17479.08,issued,,AE
IL-001,INV-2027-373553,2027-02-09,invoice,ORD-2026-834312,PROD-029384,Trimbit Docking Station 12-in-1,70,pcs,89.9,EUR,6293.0,0.0,0.0,6293.0,issued,,AE
IL-001,INV-2027-292984,2027-02-09,invoice,ORD-2026-703171,PROD-271045,Vantec USB-C Hub 9-port,80,pcs,34.5,EUR,2760.0,0.0,0.0,2760.0,issued,,AE
IL-001,INV-2027-282450,2027-02-09,invoice,ORD-2026-993933,PROD-029384,Trimbit Docking Station 12-in-1,3,pcs,89.9,EUR,269.7,0.0,0.0,269.7,issued,,AE
IL-001,INV-2027-492125,2027-02-09,invoice,ORD-2026-313068,PROD-461829,Plonex Webcam 1080p Pro,42,pcs,44.0,EUR,1848.0,0.0,0.0,1848.0,issued,,AE
IL-001,INV-2027-529715,2027-02-09,invoice,ORD-2026-704663,PROD-461829,Plonex Webcam 1080p Pro,22,pcs,44.0,EUR,968.0,19.0,183.92,1151.92,issued,,S
IL-001,INV-2027-425992,2027-02-09,invoice,ORD-2027-209493,PROD-483921,Zoltrix 4K Display Module 27in,21,pcs,189.99,EUR,3989.79,19.0,758.06,4747.85,issued,,S
