invoice_line_id,invoice_id,invoice_date,invoice_type,order_id,product_id,product_description,quantity,uom,unit_price,currency,line_amount,vat_rate,vat_amount,total_amount,invoice_status,invoice_ref,vat_category_code
IL-001,INV-2027-303995,2027-02-03,invoice,ORD-2027-128047,PROD-639182,Blipcore Wireless Adapter AC1200,10,pcs,22.8,EUR,228.0,0.0,0.0,228.0,issued,,AE
IL-001,INV-2027-281766,2027-02-07,invoice,ORD-2026-131279,PROD-583047,Veltric UPS 600VA Tower,63,pcs,78.6,EUR,4951.8,0.0,0.0,4951.8,issued,,AE
IL-001,INV-2027-267919,2027-03-09,invoice,ORD-2027-449701,PROD-271045,Vantec USB-C Hub 9-port,94,pcs,34.5,EUR,3243.0,0.0,0.0,3243.0,issued,,AE
IL-001,INV-2027-789345,2027-02-03,invoice,ORD-2027-195450,PROD-461829,Plonex Webcam 1080p Pro,93,pcs,44.0,EUR,4092.0,19.0,777.48,4869.48,issued,,S
IL-002,INV-2027-600366,2027-02-07,invoice,ORD-2027-956035,PROD-583047,Veltric UPS 600VA Tower,65,pcs,78.6,EUR,5109.0,0.0,0.0,5109.0,issued,,AE
IL-001,INV-2027-696030,2027-02-14,invoice,ORD-2026-222382,PROD-738291,Quorvex 2TB NVMe SSD M.2,8,pcs,112.5,EUR,900.0,0.0,0.0,900.0,issued,,AE
IL-002,INV-2027-198113,2027-02-06,invoice,ORD-2026-483219,PROD-483921,Zoltrix 4K Display Module 27in,70,pcs,189.99,EUR,13299.3,0.0,0.0,13299.3,issued,,AE
IL-001,INV-2027-788015,2027-03-06,invoice,ORD-2027-874942,PROD-483921,Zoltrix 4K Display Module 27in,76,pcs,189.99,EUR,14439.24,0.0,0.0,14439.24,issued,,AE
IL-001,INV-2027-386888,2027-02-06,invoice,ORD-2027-705043,PROD-483921,Zoltrix 4K Display Module 27in,90,pcs,189.99,EUR,17099.1,0.0,0.0,17099.1,issued,,AE
IL-001,INV-2027-963947,2027-02-17,invoice,ORD-2027-296460,PROD-461829,Plonex Webcam 1080p Pro,66,pcs,44.0,EUR,2904.0,19.0,551.76,3455.76,issued,,S
IL-003,INV-2027-632169,2027-02-21,invoice,ORD-2027-340184,PROD-483921,Zoltrix 4K Display Module 27in,71,pcs,189.99,EUR,13489.29,0.0,0.0,13489.29,cancelled,,AE
IL-002,INV-2027-642637,2027-03-10,invoice,ORD-2027-850022,PROD-483921,Zoltrix 4K Display Module 27in,22,pcs,189.99,EUR,4179.78,0.0,0.0,4179.78,issued,,AE
IL-002,INV-2027-742062,2027-03-24,credit note,ORD-2027-881543,PROD-583047,Veltric UPS 600VA Tower,47,pcs,78.6,EUR,-3694.2,19.0,-701.9,-4396.1,issued,INV-2027-996435,S
IL-001,INV-2027-599713,2027-03-16,invoice,ORD-2027-612463,PROD-583047,Veltric UPS 600VA Tower,12,pcs,78.6,EUR,943.2,0.0,0.0,943.2,issued,,AE
IL-001,INV-2027-686269,2027-03-22,invoice,ORD-2027-632086,PROD-583047,Veltric UPS 600VA Tower,32,pcs,78.6,EUR,2515.2,19.0,477.89,2993.09,issued,,S
IL-001,INV-2027-154529,2027-03-17,invoice,ORD-2027-126344,PROD-639182,Blipcore Wireless Adapter AC1200,82,pcs,22.8,EUR,1869.6,19.0,355.22,2224.82,issued,,S
IL-001,INV-2027-613043,2027-02-24,invoice,ORD-2026-339139,PROD-564738,Fomex Cat8 Patch Cable 3m,1,m,8.9,EUR,8.9,0.0,0.0,8.9,issued,,AE
IL-001,INV-2027-465160,2027-02-10,invoice,ORD-2026-146236,PROD-271045,Vantec USB-C Hub 9-port,79,pcs,34.5,EUR,2725.5,0.0,0.0,2725.5,issued,,AE
IL-003,INV-2027-853202,2027-02-18,invoice,ORD-2027-943881,PROD-271045,Vantec USB-C Hub 9-port,75,pcs,34.5,EUR,2587.5,0.0,0.0,2587.5,issued,,AE
IL-001,INV-2027-507883,2027-03-18,invoice,ORD-2027-729651,PROD-271045,Vantec USB-C Hub 9-port,38,pcs,34.5,EUR,1311.0,19.0,249.09,1560.09,issued,,S
IL-002,INV-2027-501256,2027-02-21,credit note,ORD-2027-340184,PROD-847263,Nexboard Mechanical Keyboard TKL,99,pcs,67.0,EUR,-6633.0,0.0,-0.0,-6633.0,issued,INV-2027-632169,AE
